,name,url,Main Story time,Main Story tag info,Main + Extra time,Main + Extra tag info,Completionist time,Completionist tag info,Solo time,Solo tag info,Co-Op time,Co-Op tag info,Vs. time,Vs. tag info
9639,gargoylesquestii,game?id=3845,3.0,70.0,4.0,40.0,8.0,40.0,,,,,,
9640,gods,game?id=3985,4.0,50.0,,0.0,4.5,40.0,,,,,,
9641,goldenaxetherevengeofdeathadder,game?id=3999,58.0,60.0,1.5,40.0,1.5,40.0,,,,,,
9642,gothicii,game?id=4028,45.5,60.0,52.5,80.0,71.5,60.0,,,,,,
9643,grandtheftautoadvance,game?id=4060,7.0,50.0,,0.0,9.0,40.0,,,,,,
9644,guitarheroencorerocksthe80s,game?id=4175,5.0,70.0,8.0,50.0,13.5,40.0,,,,,,
9646,gundeadligne,game?id=4201,33.0,70.0,41.0,40.0,,0.0,,,,,,
9647,gundemoniumrecollection,game?id=4202,2.0,50.0,21.0,40.0,,0.0,,,,,,
9648,halfminutehero,game?id=4259,8.5,90.0,12.5,90.0,25.5,50.0,,,,,,
9649,harvestmoonanimalparade,game?id=4333,36.5,50.0,65.5,40.0,,0.0,,,,,,
9650,heavyweapon,game?id=4381,2.0,50.0,2.0,40.0,,0.0,,,,,,
9651,hereticii,game?id=4411,12.5,50.0,28.0,40.0,28.5,40.0,,,,,,
9652,heroesofmana,game?id=4421,17.5,50.0,,0.0,,0.0,,,,,,
9653,heroesofmightandmagicastrategicquest,game?id=4436,24.0,60.0,29.0,50.0,35.5,40.0,,,,,,
9654,hogansalley,game?id=4484,20.0,50.0,,0.0,,0.0,,,,,,
9655,inazumaeleven3challengetotheworld,game?id=4650,22.0,60.0,48.0,50.0,119.0,50.0,,,,,,
9656,jaggedalliancecrossfire,game?id=4795,,0.0,26.0,40.0,80.0,40.0,,,,,,
9657,joyrideturbo,game?id=4875,2.0,50.0,,0.0,,0.0,,,,,,
9658,kagetsutohya,game?id=4917,4.0,40.0,,0.0,10.5,40.0,,,,,,
9659,keepsake,game?id=4946,8.5,40.0,,0.0,21.0,40.0,,,,,,
9660,kiddracula,game?id=4970,2.0,90.0,2.0,40.0,3.0,40.0,,,,,,
9661,killerinstinctgold,game?id=4980,51.0,70.0,7.0,50.0,36.5,40.0,,,,,,
9662,kingarthuriitheroleplayingwargame,game?id=5005,11.5,40.0,41.0,40.0,,0.0,,,,,,
9663,kingsfield,game?id=5022,17.0,60.0,21.5,50.0,28.0,40.0,,,,,,
9664,klonoa2dreamchamptournament,game?id=5092,7.0,50.0,7.5,40.0,11.0,40.0,,,,,,
9665,lair,game?id=5162,8.5,60.0,11.0,40.0,,0.0,,,,,,
9666,combatarms,game?id=1820,,,,,,,,,,0.0,859.0,40.0
9668,commando,game?id=1865,36.0,70.0,1.0,40.0,1.0,40.0,,,,,,
9669,contra4,game?id=1912,45.0,70.0,3.0,40.0,17.5,40.0,,,,,,
9670,crashmo,game?id=1989,10.0,50.0,23.5,40.0,23.5,40.0,,,,,,
9671,crimsonshroud,game?id=2026,7.0,100.0,8.5,60.0,17.0,50.0,,,,,,
9672,crittercrunch,game?id=2040,4.5,50.0,8.0,50.0,14.0,40.0,,,,,,
9673,crusadersofmightandmagic,game?id=2062,8.0,40.0,24.5,40.0,,0.0,,,,,,
9674,crush,game?id=2063,6.5,40.0,8.5,40.0,9.5,40.0,,,,,,
9675,crystalcaves,game?id=2074,4.0,50.0,,0.0,9.5,40.0,,,,,,
9676,culpainnata,game?id=2103,23.5,50.0,24.0,40.0,26.0,40.0,,,,,,
9677,darkspore,game?id=2249,17.0,50.0,44.5,40.0,,0.0,,,,,,
